task_id,family,category,prompt,check_type,expected,threshold,rubric,banned,tier
fastapi_catalog,web_api,se_medium,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: README.md, data.json.

TASK: Build a small FastAPI application from the spec in `README.md` (item catalog API with search). Create `app.py` (and `requirements.txt` if needed) in the workdir. Follow the spec exactly: endpoints, status codes, error handling (404 for missing resources), and request/response shapes.
Difficulty: medium (multi-endpoint API with error handling).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: every endpoint from the spec exists with the documented behavior.",file_contains,"app.py|from fastapi import FastAPI, HTTPException
app.py|app = FastAPI(
app.py|@app.get(""/items""
app.py|@app.get(""/items/{item_id}""
app.py|@app.get(""/items/search""
app.py|raise HTTPException(status_code=404
app.py|data.json
requirements.txt|fastapi",0.70,"fastapi_setup (medium): correct, working solution that satisfies every automated check.",,Repeat
refactor_config,refactoring,se_medium,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: ugly.py.

TASK: Refactor `ugly.py` (config validator with global error buffer and duplicated checks). The code works but violates basic engineering standards: it relies on module-level global state and duplicate logic. Rewrite it as clean, well-structured code: split the logic into small focused functions with docstrings, use module-level constants instead of mutable globals, and remove all duplicated blocks. The public API (function names and signatures) must stay identical and the behavior must be preserved exactly.
Difficulty: medium-hard (structural refactor, behavior must not change).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: all hidden unit tests pass AND no global-state anti-patterns remain.",file_code_exec,"ugly.py
check(""valid cfg"",
      mod.validate({""name"": ""api"", ""port"": 8080, ""hosts"": [""a""]}) == [])
check(""missing name once"", mod.validate({""port"": 8080}).count(""missing name"") == 1)
check(""port type"", mod.validate({""name"": ""x"", ""port"": ""8080""})
      == [""port must be int""])
check(""empty hosts once"",
      mod.validate({""name"": ""x"", ""port"": 1, ""hosts"": []}).count(""hosts empty"") == 1)
check(""all problems"", sorted(mod.validate({}))
      == sorted([""missing name"", ""port must be int""]))
check(""no globals leak"", mod.validate({""name"": ""a"", ""port"": 1}) == [])
",0.70,"refactor (medium): correct, working solution that satisfies every automated check.",global ;_errs,Repeat
write_tests_temperature,testing,se_hard,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: good.py, buggy.py.

TASK: The project contains two versions of the same module: `good.py` (correct) and `buggy.py` (one deliberately seeded defect). Your job is to write a unit test suite that would catch the defect (average truncates instead of rounding). Requirements:
1. Every test must pass against the correct module.
2. At least one test must FAIL against the buggy module.
3. Use `import mod` to reach the module under test and write plain functions named `test_*` containing `assert` statements (no test framework needed). Cover edge cases, not just happy paths.
Difficulty: hard (test design; the bug is subtle).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Your test code must be the ONLY code block in your reply.",test_suite,"GOOD_MODULE=good.py
BUGGY_MODULE=buggy.py",0.70,"write_tests (hard): correct, working solution that satisfies every automated check.",,Repeat
bug_fix_finance_bad_default,bug_fixing,se_medium,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: main.py.

TASK: The module `main.py` contains a software defect (invoice total computation). Find the bug and fix it IN PLACE in main.py (invoice parsing, subtotal, bulk discount, tax). Do not change the module's public API, do not add new dependencies, do not weaken behavior.
Files in the workdir are yours to edit.
Difficulty: medium (a ~50-line module with a seeded logic bug).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: the fixed module passes all of the project's unit tests (run them if you can).",file_code_exec,"main.py
check(""parses 3 rows"",
      len(mod.parse_lines([""a,x,2,1.5"", ""b,y,3,2.0"", ""c,z,1,0.5""])) == 3)
check(""skips malformed"",
      len(mod.parse_lines([""a,x,2,1.5"", ""oops"", ""b,y,3,2.0""])) == 2)
items = mod.parse_lines([""a,x,2,1.5"", ""b,y,3,2.0""])
check(""subtotal"", mod.compute_subtotal(items) == 9.0)
check(""subtotal counts last item"",
      mod.compute_subtotal(mod.parse_lines([""a,x,1,1.0"", ""b,y,1,1.0"", ""c,z,1,1.0""])) == 3.0)
check(""bulk at boundary"", mod.apply_bulk_discount(500.0) == 450.0)
check(""bulk above"", mod.apply_bulk_discount(600.0) == 540.0)
check(""no bulk below"", mod.apply_bulk_discount(499.99) == 499.99)
check(""tax default"", mod.compute_tax(100.0) == 7.5)
check(""tax explicit"", mod.compute_tax(100.0, 0.10) == 10.0)
check(""qty matters"", mod.compute_subtotal(mod.parse_lines([""a,x,4,1.0""])) == 4.0)
",0.70,"bug_fix (medium): correct, working solution that satisfies every automated check.",,Variant
bug_fix_finance_wrong_accum,bug_fixing,se_medium,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: main.py.

TASK: The module `main.py` contains a software defect (invoice total computation). Find the bug and fix it IN PLACE in main.py (invoice parsing, subtotal, bulk discount, tax). Do not change the module's public API, do not add new dependencies, do not weaken behavior.
Files in the workdir are yours to edit.
Difficulty: medium (a ~50-line module with a seeded logic bug).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: the fixed module passes all of the project's unit tests (run them if you can).",file_code_exec,"main.py
check(""parses 3 rows"",
      len(mod.parse_lines([""a,x,2,1.5"", ""b,y,3,2.0"", ""c,z,1,0.5""])) == 3)
check(""skips malformed"",
      len(mod.parse_lines([""a,x,2,1.5"", ""oops"", ""b,y,3,2.0""])) == 2)
items = mod.parse_lines([""a,x,2,1.5"", ""b,y,3,2.0""])
check(""subtotal"", mod.compute_subtotal(items) == 9.0)
check(""subtotal counts last item"",
      mod.compute_subtotal(mod.parse_lines([""a,x,1,1.0"", ""b,y,1,1.0"", ""c,z,1,1.0""])) == 3.0)
check(""bulk at boundary"", mod.apply_bulk_discount(500.0) == 450.0)
check(""bulk above"", mod.apply_bulk_discount(600.0) == 540.0)
check(""no bulk below"", mod.apply_bulk_discount(499.99) == 499.99)
check(""tax default"", mod.compute_tax(100.0) == 7.5)
check(""tax explicit"", mod.compute_tax(100.0, 0.10) == 10.0)
check(""qty matters"", mod.compute_subtotal(mod.parse_lines([""a,x,4,1.0""])) == 4.0)
",0.70,"bug_fix (medium): correct, working solution that satisfies every automated check.",,Variant
implement_max_profit,algorithms,se_hard,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: solution.py.

TASK: Implement the function described in `solution.py` (maximum profit from one buy and one sell). Replace the `raise NotImplementedError` body with a correct, efficient implementation in `solution.py`. Handle edge cases (empty inputs, boundaries). Do not change the signature. The project's hidden unit tests will be run against your file.
Difficulty: hard (non-trivial algorithm, edge cases).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: every hidden unit test passes.",file_code_exec,"solution.py
check(""example"", mod.max_profit([7, 1, 5, 3, 6, 4]) == 5.0)
check(""strictly falling"", mod.max_profit([5, 4, 3, 2, 1]) == 0.0)
check(""single"", mod.max_profit([3]) == 0.0)
check(""empty"", mod.max_profit([]) == 0.0)
check(""later only"", mod.max_profit([10, 1, 1, 1]) == 0.0)
check(""big jump"", mod.max_profit([1, 2, 3, 100, 0, 50]) == 99.0)
check(""float"", mod.max_profit([1.5, 2.5, 1.0]) == 1.0)
",0.70,"implement_function (hard): correct, working solution that satisfies every automated check.",,Variant
implement_edit_distance,algorithms,se_hard,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: solution.py.

TASK: Implement the function described in `solution.py` (Levenshtein edit distance). Replace the `raise NotImplementedError` body with a correct, efficient implementation in `solution.py`. Handle edge cases (empty inputs, boundaries). Do not change the signature. The project's hidden unit tests will be run against your file.
Difficulty: hard (non-trivial algorithm, edge cases).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: every hidden unit test passes.",file_code_exec,"solution.py
check(""example"", mod.edit_distance(""kitten"", ""sitting"") == 3)
check(""identical"", mod.edit_distance(""abc"", ""abc"") == 0)
check(""empty vs"", mod.edit_distance("""", ""xyz"") == 3)
check(""vs empty"", mod.edit_distance(""abc"", """") == 3)
check(""one char"", mod.edit_distance(""a"", ""b"") == 1)
check(""insertion"", mod.edit_distance(""abc"", ""abxc"") == 1)
check(""long"", mod.edit_distance(""abcdef"", ""azced"") == 3)
",0.70,"implement_function (hard): correct, working solution that satisfies every automated check.",,Variant
write_tests_stats,testing,se_hard,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: good.py, buggy.py.

TASK: The project contains two versions of the same module: `good.py` (correct) and `buggy.py` (one deliberately seeded defect). Your job is to write a unit test suite that would catch the defect (median mutates its input list). Requirements:
1. Every test must pass against the correct module.
2. At least one test must FAIL against the buggy module.
3. Use `import mod` to reach the module under test and write plain functions named `test_*` containing `assert` statements (no test framework needed). Cover edge cases, not just happy paths.
Difficulty: hard (test design; the bug is subtle).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Your test code must be the ONLY code block in your reply.",test_suite,"GOOD_MODULE=good.py
BUGGY_MODULE=buggy.py",0.70,"write_tests (hard): correct, working solution that satisfies every automated check.",,Variant
docker_streamlit_dashboard,devops,se_medium,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: app.py, requirements.txt, README.md.

TASK: Containerize the project in the workdir (a Streamlit dashboard). Create a `Dockerfile` and a `docker-compose.yml` that follow current best practices (slim base image pinned to a major version, workdir set, dependencies installed from `requirements.txt`, non-default exposed port, healthcheck where reasonable). The compose service must build from the local Dockerfile, publish the app port, and mount the app as a volume.
Difficulty: medium (containerization conventions).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: a valid Dockerfile and compose file that would build and run the app.",file_contains,"Dockerfile|FROM python:3.11-slim
Dockerfile|WORKDIR /app
Dockerfile|COPY
Dockerfile|RUN pip install
Dockerfile|CMD
Dockerfile|EXPOSE 8501
docker-compose.yml|services:
docker-compose.yml|build:
docker-compose.yml|ports:
docker-compose.yml|8501",0.70,"docker_configure (medium): correct, working solution that satisfies every automated check.",,New
cli_json_pretty,cli_tool,se_complex,"You are a software engineer working on a real codebase. Be precise: write clean, working code and verify your own work before finishing.

Workdir files you may need: README.md, config.json.

TASK: Build a small command-line tool from the spec in `README.md` (pretty-printing JSON CLI). Create `cli.py` in the workdir using argparse (flags exactly as documented in the spec). The tool must read the data file from the current directory and print output to stdout in the exact format shown in the spec.
Difficulty: complex (CLI contract must match exactly).
Edit the files in the workdir using your file tools. When you provide code in your reply, wrap each file in a code fence named after the file path (e.g. ```python
# main.py
...
```).
Expected: the grader runs your `cli.py` with documented arguments and compares stdout line-by-line.",command_check,"CMD:python cli.py --input config.json --sort
{
""a"": true,
""y"": [
1,
2
],
""z"": {
""a"": 1,
""b"": 2
}
}",0.70,"cli_tool (complex): correct, working solution that satisfies every automated check.",,New
